ccode,Country,year,leadername,business,econ_finance,rgdpe,lnrgdpe,growth,cpg_sw2014,war,law,militarycareer,nato,business_add_close,econ_finance_close,business_nostate,business_exclude_lowlevel,rgdpo,expenditures_total,expenditures_total_million,expenditures_2014,nondefspend,nondefspend_ch,defspend_usa,defspend_ch_usa,diff_us,polconiii,polityfrompolity,polcon_abvmean,polcon_blwmean,cpg_mf,mids_per_yr,business_econ_finance,econ_finance_nobiz,def.exp,def.delta
385,Norway,1963,Gerhardsen,0,0,46564.33203,10.74859047,3.181660175,3.92328763,0,0,0,1,0,0,0,0,46092.69531,16065578522,16065,17441.27734,14957.27734,6.979329586,404393,-1.361787081,5.512730598,0.456908315,10,1,0,3.92328763,0,0,0,2015.431675,4.161290654
385,Norway,1964,Gerhardsen,0,0,49797.81641,10.81572628,6.94411993,4,0,0,0,1,0,0,0,0,48986.75391,17094086633,17094,18558.42969,16039.42969,7.234955311,390911,-3.33388567,4.742903233,0.456908315,10,1,0,4,0,0,0,2043.790402,1.407079541
385,Norway,1965,Gerhardsen,0,0,52805.61719,10.87437248,6.040024757,3.778082132,0,0,0,1,0,0,0,0,51755.12891,18693769638,18693,20294.41602,17375.41602,8.329387665,389105,-0.461997747,16.34131432,0.456908315,10,1,0,3.778082132,0,0,0,2368.579966,15.89152995
385,Norway,1966,Borten,0,0,54918.10547,10.91359806,4.000496864,3,0,0,0,1,0,0,0,0,53617.96484,19270391555,19270,20920.84766,18018.84766,3.703114986,463423,19.09972954,-19.68212128,0.475049794,10,1,0,3,0,0,0,2354.472919,-0.595590911
385,Norway,1967,Borten,0,0,59118.76563,10.98730373,7.648956776,3,0,0,0,1,0,0,0,0,57125.78125,21075941730,21075,22880.48047,19887.48047,10.37043476,535141,15.47570992,-12.33994102,0.475049794,10,1,0,3,0,0,0,2428.200559,3.1313862
385,Norway,1968,Borten,0,0,61542.23828,11.02747917,4.099333286,3,0,0,0,1,0,0,0,0,59213.17578,21961666401,21961,23842.38281,20670.38281,3.936659336,549446,2.673127174,3.307494164,0.475049794,10,1,0,3,0,0,0,2573.910865,6.000752538
385,Norway,1969,Borten,0,0,63315.34375,11.05588341,2.881121635,3,0,0,0,1,0,0,0,0,61484.1875,23017381534,23017,24988.84961,21640.84961,4.694962978,525814,-4.301059723,9.849609375,0.475049794,10,1,0,3,0,0,0,2716.640922,5.545260281
385,Norway,1970,Borten,0,0,65895.92188,11.09583187,4.075753689,3,0,0,0,1,0,0,0,0,52412.96875,24461864349,24461,26556.55664,23199.55664,7.202614784,486804,-7.418973446,7.687790871,0.459918588,10,1,0,3,0,0,0,2724.150769,0.27643871
385,Norway,1971,Bratteli,0,0,69606.34375,11.15061092,5.630731583,3.802739859,0,0,0,1,0,0,0,0,56225.94922,26158366020,26158,28398.9375,24956.9375,7.575062275,437787,-10.0691452,12.60116768,0.459918588,10,1,0,3.802739859,0,0,0,2792.909206,2.524031966
385,Norway,1972,Bratteli,0,0,72004.92969,11.1844902,3.445935249,3.797814131,0,0,0,1,0,0,0,0,61980.38281,27355329374,27355,29698.48242,26257.48242,5.211155891,439498,0.390829325,-0.419882208,0.459918588,10,1,0,3.797814131,0,0,0,2791.888872,-0.036533008
385,Norway,1973,Korvald,0,0,76389.10938,11.24359512,6.088721752,3.208219051,0,0,0,1,0,0,0,0,64390.88672,28730893931,28730,31191.2793,27725.2793,5.590013504,417593,-4.984095573,5.71062851,0.459918588,10,1,0,3.208219051,1,0,0,2811.889457,0.716381842
385,Norway,1974,Bratteli,0,0,78562.02344,11.27164364,2.844536304,4,0,0,0,1,0,0,0,0,70032.22656,29763720277,29763,32312.77539,28753.77539,3.709596872,412319,-1.262952209,3.946160316,0.508948803,10,1,0,4,0,0,0,2887.436745,2.686709024
385,Norway,1975,Bratteli,0,0,80107.08594,11.29111958,1.966679096,4,0,0,0,1,0,0,0,0,77394.32031,32003781658,32003,34744.67578,30884.67578,7.41085434,388786,-5.707474232,14.16490555,0.508948803,10,1,0,4,0,0,0,3131.591173,8.45574987
385,Norway,1976,Nordli,0,1,83278.77344,11.32994938,3.959310055,4,0,0,0,1,0,1,0,0,80328.29688,33967136974,33967,36876.92969,32924.92969,6.606039524,378559,-2.630496025,5.013916016,0.508948803,10,1,0,4,0,1,1,3206.273417,2.384801823
385,Norway,1977,Nordli,0,1,85767.25,11.35939217,2.988123894,4,0,0,0,1,0,1,0,0,82887.4375,35378966778,35378,38408.80859,34376.80859,4.409664631,394217,4.136211395,-2.11191988,0.508948803,10,1,0,4,0,1,1,3271.734268,2.041649073
385,Norway,1978,Nordli,0,1,88310.1875,11.38861084,2.964925766,4,0,0,0,1,0,1,0,0,89423.90625,37119909119,37119,40298.95703,35992.95703,4.701275349,396408,0.555785239,6.239849567,0.444988042,10,1,0,4,1,1,1,3494.155238,6.798259024
385,Norway,1979,Nordli,0,1,93574.19531,11.44651031,5.960810184,4,0,0,0,1,0,1,0,0,95163.99219,39007589507,39007,42348.70313,37933.70313,5.392016411,398769,0.595598459,1.935753107,0.444988042,10,1,0,4,0,1,1,3582.611544,2.531550527
385,Norway,1980,Nordli,0,1,101127.0547,11.52413273,8.071517944,4,0,0,0,1,0,1,0,0,101509.25,40710170329,40710,44197.59766,39740.59766,4.763296127,397025,-0.437345922,1.388648272,0.444988042,10,1,0,4,1,1,1,3616.755357,0.953042566
385,Norway,1981,Brundtland,0,0,102582.5234,11.53842258,1.439249516,3.572602749,0,0,0,1,0,0,0,0,102314.8672,42090346630,42090,45695.82031,41189.82031,3.646705627,442450,11.44134521,-10.34195137,0.444988042,10,1,0,3.572602749,0,0,0,3656.156317,1.089400752
385,Norway,1982,Willoch,0,1,101247.5,11.52532291,-1.301413774,2,0,0,0,1,0,1,0,0,101211.7656,43129042520,43129,46823.83203,42141.83203,2.311279058,524074,18.44818687,-14.54228401,0.460238069,10,1,0,2,0,1,1,3798.763482,3.900466859
385,Norway,1983,Willoch,0,1,102536.8828,11.53797817,1.273500919,2,0,0,0,1,0,1,0,0,105693.0313,44429770656,44429,48235.19922,43349.19922,2.865008831,507762,-3.112537622,7.469650269,0.460238069,10,1,0,2,1,1,1,3964.270611,4.356868475
385,Norway,1984,Willoch,0,1,108332.2656,11.59295845,5.65199852,2,0,0,0,1,0,1,0,0,112047.3359,45104346497,45104,48968.02734,44262.02734,2.105755568,527381,3.863818169,-7.547813416,0.460238069,10,1,0,2,1,1,1,3818.229308,-3.683938789
385,Norway,1985,Willoch,0,1,111424.2344,11.62110043,2.854156494,2,0,0,0,1,0,1,0,0,112766.2266,46312420023,46312,50279.51563,44858.51563,1.347629786,568003,7.702590942,7.490778923,0.457708985,10,1,0,2,0,1,1,4398.966521,15.20959497
